,mensaje,fecha,sentimiento
118,the lamestream media is the dominant force in trying to get me to keep our country closed as long as possible in the hope that it will be detrimental to my election success the real people want to get back to work asap we will be stronger than ever before,03-25-2020 20:04:56,1
119,today is national medalofhonorday join me in momentofhonor to remember those who have earned our nation highest award for valor in combat the nation is eternally grateful to these patriots who so valiantly fought for america values and the american way of life,03-25-2020 15:45:36,1
120,congratulations to prime minister abe of japan and the ioc on their very wise decision to present the olympics in it will be great success and look forward to being there,03-25-2020 14:54:47,1
121,the four hospitals that we fema are building in nyc at the javits convention center are moving along very well ahead of schedule many additional ventilators also delivered good conversation with governor cuomo,03-25-2020 14:49:56,1
122,just reported that the united states has done far more testing than any other nation by far in fact over an eight day span the united states now does more testing than what south korea which has been very successful tester does over an eight week span great job,03-25-2020 14:44:17,1
123,rt washyourhands slowthespread covid,03-25-2020 12:15:30,1
124,the democrat best finest,03-25-2020 12:14:57,1
125,rt gallup poll shows strong approval of president handling of virus crisis overall job approval rating,03-25-2020 11:49:30,1
126,rt ya gotta admire the hypocrisy and stupidity of adam schiff it okay for him to assert government privilege but wh,03-25-2020 11:48:47,1
127,rt there lot of mud on robert mueller face these days his mug is caked with it,03-25-2020 11:48:11,1
128,rt trump auto manufacturers given ok to produce much needed ventilators,03-25-2020 11:47:37,1
129,gee that too bad such fine guy presidential aspirations you know,03-25-2020 11:47:26,0
130,rt can we trust china to ban wet markets,03-25-2020 11:45:05,0
131,rt mainstream media got caught changing headline to favor dems twice,03-25-2020 11:44:52,1
132,rt why did npr only pick the low end to fact check trump while ignoring the high end the washington post split the diff,03-25-2020 11:44:43,0
133,this is really great news am so happy can barely speak he may have been terrible presidential candidate and an even worse senator but he is rino and like him lot,03-25-2020 11:36:48,1
134,rt the corporate media is not going to like this,03-25-2020 11:24:22,0
135,rt snowflakes are scampering to their crying circles and clutching their emotional support puppies over this,03-25-2020 11:23:56,0
136,rt we should never be reliant on foreign country for the means of our own survival,03-25-2020 11:22:43,1
137,rt the establishment media trump derangement syndrome hits new low,03-25-2020 11:22:17,1
138,rt this crisis has underscored just how critical it is to have strong borders and robust manufacturing sector,03-25-2020 11:20:53,1
139,rt real leadership says there light at the end of the tunnel as white house pitches coronavirus stim,03-25-2020 11:17:25,1
140,rt breaking news,03-25-2020 11:15:56,1
141,rt breaking overnight white house senate reach deal on trillion stimulus package,03-25-2020 10:55:45,1
142,rt breaking overnightwhile you all slept operation trumpbux has been initiated,03-25-2020 10:53:35,0
143,am working very hard to help new york city state dealing with both mayor governor and producing tremendously for them including four new medical centers and four new hospitals fake news that won help them because don like cuomo do just sent ventilators,03-25-2020 10:40:52,0
144,rt after his telephone talks with ioc president bach pm abe spoke to the press and explained that the two have agreed that the,03-25-2020 10:25:25,1
145,president trump decision to very early on restrict travel from china saved tens of thousands of lives,03-25-2020 10:14:23,1
146,together we will prevail,03-24-2020 22:32:48,1
147,rt live press briefing with coronavirus task force,03-24-2020 21:44:04,1
148,rt underway steaming to assist usnsmercy departs naval base san diego in support of the nation covid response efforts,03-24-2020 21:42:37,1
149,rt usns mercy is underway check out this infographic to learn about the capabilities of usnavy hospital ships usnscomfort and,03-24-2020 21:42:29,1
151,rt small businesses power our economy and president trump will not let them weather this alone,03-24-2020 19:34:56,0
153,price transparency is so important for the people of our country in many ways it will prove to be as important as healthcare itself great issue for both republicans and democrats hopefully it will be approved,03-24-2020 19:08:11,1
154,will be doing town hall on at now will go on around enjoy,03-24-2020 16:04:37,1
155,our people want to return to work they will practice social distancing and all else and seniors will be watched over protectively lovingly we can do two things together the cure cannot be worse by far than the problem congress must act now we will come back strong,03-24-2020 14:16:34,0
156,congress must approve the deal without all of the nonsense today the longer it takes the harder it will be to start up our economy our workers will be hurt,03-24-2020 12:45:18,0
157,this is not about the ridiculous green new deal it is about putting our great workers and companies back to work,03-24-2020 12:04:25,0
158,the defense production act is in full force but haven had to use it because no one has said no millions of masks coming as back up to states,03-24-2020 12:00:33,0
159,keep charlie number one great book,03-24-2020 11:43:49,1
160,rt hey what does the kennedy center have to do with covid asking for million friends,03-24-2020 11:42:02,1
161,rt when nancy pelosi receives bill that will expedite relief to american workers but does not fund the kennedy center https,03-24-2020 11:40:55,0
162,rt love you kirstie do not be afraid to speak your mind has done an amazing job pro,03-24-2020 11:34:41,1
163,thank you kirstie,03-24-2020 11:32:35,1
164,buy the book and give liz some great reviews,03-24-2020 11:19:27,1
165,rt dr fauci is all of us,03-24-2020 11:11:41,1
166,rt lol quaratinelife,03-24-2020 11:06:14,1
167,rt the chance of dying is about percent very far from the world health organization global mortality figure of,03-24-2020 11:01:03,0
168,respected coal miner and great dad rest in peace,03-24-2020 10:58:35,0
169,the media is hopeless too bad,03-24-2020 10:51:45,0
170,rt dr birx is sober professional thinker and analyst feel confident having her as an essential part of our team,03-24-2020 10:48:30,1
171,thank you tony,03-24-2020 10:48:15,1
172,rt voter fraud by democrats is the second most dangerous thing to happen to america since this virus,03-24-2020 10:38:49,0
173,the world market for face masks and ventilators is crazy we are helping the states to get equipment but it is not easy just got ventilators for bill de blasio work beginning on hospitals in new york millions of different type items coming,03-24-2020 10:14:36,0
174,rt every american needs to see joe biden latest brain freeze,03-24-2020 04:31:33,1
175,rt trump derangement syndrome just guess,03-24-2020 04:30:34,1
176,rt president just signed an eo to prevent hoarding price gouging of supplies needed in our war against the,03-24-2020 04:29:07,1
177,rt message for schumer pelosi this should not be time for political agendas but rather one for focusing solely an,03-24-2020 04:27:32,1
178,rt ll work with anybody to help the american people and the american worker don care who it is donald trump,03-24-2020 04:26:47,1
179,rt pres signed two broadband bills today requires pres to ensure security of and subsequent generation cell phone techno,03-24-2020 04:26:12,1
180,rt we must all do our part to slowthespread togetherapart socialdistancing stayathome workfromhome stopthespread fl,03-24-2020 04:23:51,1
181,this will never be approved by me or any other republican,03-24-2020 04:16:29,1
182,rt our experience suggests that hydroxychloroquine should be first line treatment for covid we can use it to save,03-24-2020 04:10:05,1
183,rt people are dying and the dems do this it literally the definition of evil we ve never seen crisis like th,03-24-2020 03:56:28,0
184,rt blaming trump for someone ingesting fish tank cleaner is new level of trump derangement syndrome,03-24-2020 03:52:59,1
185,the hill harrisx to approval rating on handling of coronavirus situation thank you,03-24-2020 03:43:45,1
186,republicans had deal until nancy pelosi rode into town from her extended vacation the democrats want the virus to win they are asking for things that have nothing to do with our great workers or companies they want open borders green new deal republicans shouldn agree,03-24-2020 03:33:07,0
187,us since the beginning of this crisis they meant the opposite forgot to mention that closed our country to china and europe very early long before it was considered acceptable to do so sleepy joe said was xenophobic but saved thousands of lives fake news,03-24-2020 02:44:49,0
188,this is the way the finished story on me you can see the contrast between the steady assured informed and strong leadership that vp biden sleepy joe has shown and the bungling chaotic and dishonest start stop approach that mr not pres trump has shown,03-24-2020 02:44:48,1
189,rt climate change study on aviation to combat covid is this joke how does that help average ame,03-24-2020 02:30:04,0
190,rt here is what and are blocking pp couple child billion unemploym,03-24-2020 02:28:53,1
192,rt live press briefing with coronavirus task force,03-23-2020 22:11:48,1
193,is not their fault in any way shape or form they are working closely with us to get rid of it we will prevail together,03-23-2020 21:31:20,0
194,it is very important that we totally protect our asian american community in the united states and all around the world they are amazing people and the spreading of the virus,03-23-2020 21:31:19,1
195,great early result from drug that will start tomorrow in new york and other places covid,03-23-2020 16:05:53,1
196,rt we cannot let the cure be worse than the problem itself at the end of the day period we will make decision as,03-23-2020 15:06:12,1
197,the new york times changed headlines times in order to satisfy the radical left what should have been good story got worse worse until the headline alone made it very unfair fake corrupt news that is very dangerous for our country,03-23-2020 14:28:42,0
198,this is why we need borders,03-23-2020 14:16:00,1
199,strong united we will prevail god bless the usa,03-23-2020 13:07:55,1
201,rt signed the bipartisan families first coronavirus response act last night to support americans affected by covid,03-23-2020 12:47:09,0
202,rt thank you for taking extraordinary measures to support american workers you are shining example of american,03-23-2020 12:46:57,1
203,rt we truly have the best volunteers our grassroots army made stunning million phone calls on saturday alone in,03-23-2020 12:43:22,1
204,rt thread president took decisive action from the beginning to protect americans from the chinese coron,03-23-2020 12:41:52,1
205,rt msnbc at coronavirus presser you were not prepared in beginning of outbreak of virus trump in the beginning when halted,03-23-2020 12:41:01,0
206,rt senator rand paul has tested positive for covid he is feeling fine and is in quarantine he is asymptomatic and was teste,03-23-2020 12:32:55,1
207,rt chinese communist regime still claims only couple of hundred people died in tiananmen square massacre why would any,03-23-2020 12:32:31,0
208,rt when joe biden eventually comes out of hiding he needs to start answering questions about the deals that enriched his,03-23-2020 12:32:07,1
209,rt sen mitch mcconnell is losing patience with democrats and pelosi on the cares act blaming them for fiddling with the,03-23-2020 12:30:55,1
210,rt enemy of the people it never been more clear,03-23-2020 12:29:06,1
211,rt president trump and ny governor cuomo are demonstrating to the nation how to work together and leave the politics asi,03-23-2020 12:26:37,1
212,rt never forget while joe biden was giving hunter ride to china on air force two to close billion deal with,03-23-2020 12:25:07,1
213,rt surprise destruction of the economy leads to less traffic and pollution,03-23-2020 12:24:32,1
214,rt who spread false chinese government propaganda coronavirus not contagious among humans,03-23-2020 12:24:23,1
215,rt we are in the middle of an international pandemic and the democrats lead candidate has literally disappeared from the,03-23-2020 12:22:09,0
216,rt they should take serious look at this,03-23-2020 12:19:54,1
217,rt correct days then we keep the high risk groups protected as necessary and the rest of us go back to,03-23-2020 12:15:06,1
218,rt so we are all basically on house arrest but they are letting the prisoners out sounds like brilliant idea,03-23-2020 12:02:54,1
219,rt flatten the curve not the economy,03-23-2020 12:01:44,0
220,rt days then we isolate the high risk groups and the rest of us get back to work before it all,03-23-2020 12:01:00,1
221,rt thank you president trump,03-23-2020 12:00:43,1
222,rt the fear of the virus cannot collapse our economy that president trump has built up we the people,03-23-2020 12:00:39,0
223,robert we will end up stronger than ever before thank you,03-23-2020 11:59:50,1
224,rt exactly governors and local officials should let people out of their homes before they let criminals out,03-23-2020 11:57:24,1
225,we will be guided by the wishes of prime minister abe of japan great friend of the united states and man who has done magnificent job on the olympic venue as to attending the olympic games in japan he will make the proper decision,03-23-2020 11:53:55,1
226,we cannot let the cure be worse than the problem itself at the end of the day period we will make decision as to which way we want to go,03-23-2020 03:50:20,0
227,watch and listen to the fake news cnn msdnc abc nbc cbs some of fox desperately foolishly pleading to be politically correct the the and all see is hatred of me at any cost don they understand that they are destroying themselves,03-23-2020 03:28:00,0
228,my friend always there when ve needed him senator was just tested positive from the chinese virus that is not good he is strong and will get better just spoke to him and he was in good spirits,03-23-2020 01:20:08,1
229,rt president gave an update on the medical equipment and supplies being moved from our federal stockpile to,03-23-2020 00:38:30,1
230,rt fema is providing critical support to the coronavirus response efforts of state local and tribal governments,03-23-2020 00:38:25,1
231,rt thank you to the american people who are responding to president days to slow the spread guidelines,03-23-2020 00:38:19,1
232,rt president we re enduring great national trial and we will prove that we can meet the moment no am,03-23-2020 00:38:14,1
233,rt as long as am your president you can feel confident that you have leader who will always fight for you and will no,03-23-2020 00:37:47,1
234,rt live press briefing with coronavirus task force,03-22-2020 21:56:28,1
235,will be having news conference from our beautiful white house at many things to discuss thank you,03-22-2020 19:50:52,1
236,the hard working men and women of are working overtime to maintain our supply chain and deliver medical supplies to those in need your work is critical to the health of our nation keep it up,03-22-2020 17:32:30,1
237,governor of illinois and very small group of certain other governors together with fake news concast msdnc shouldn be blaming the federal government for their own shortcomings we are there to back you up should you fail and always will be,03-22-2020 16:14:59,1
238,rt so awesome to see florida businesses stepping up to help our neighbors like this this is the strong spirit of commu,03-22-2020 16:07:36,1
239,rt rt to thank those who are keeping the shelves stocked and the deliveries coming truck drivers postal workers superma,03-22-2020 16:07:06,1
240,working very well with states and our nation governors teamwork,03-22-2020 14:52:09,1
241,thank you to fred smith and for the rapid emergency deliveries you are making all over our nation keep it going,03-22-2020 14:49:27,1
242,ford general motors and tesla are being given the go ahead to make ventilators and other metal products fast go for it auto execs lets see how good you are,03-22-2020 14:25:16,1
243,rt senate republicans proposal the coronavirus aid relief and economic security act will get cash assistance in the han,03-22-2020 13:34:18,1
244,rt senate republicans and have common goal to get relief to american workers families small businesses as rapi,03-22-2020 13:34:06,1
245,rt it our job to step in and help people through this global pandemic,03-22-2020 13:29:38,1
246,rt the cares act would deliver direct financial help senate republicans want to put cash in americans hands no tangled,03-22-2020 13:29:18,0
247,rt our senate proposal would provide the quickest possible access to desperately needed liquidity for small businesses acros,03-22-2020 13:29:02,0
248,rt laid off workers cannot wait struggling main street businesses cannot wait our hospitals and health centers cannot wait,03-22-2020 13:28:47,1
249,rt senate republicans cares act would continue to push resources to the front lines of the medical battle against this viru,03-22-2020 13:28:31,1
250,rt small businesses working families and medical responders across this country have made it clear they need help now,03-22-2020 13:28:17,0
251,rt kentucky state motto is united we stand divided we fall inspired by all the kentuckians who are stepping up to,03-22-2020 13:27:38,1
252,rt more americans are being laid off every day more small businesses are being forced to shed payroll every day our nurses,03-22-2020 13:27:21,0
253,rt the past two days of intense bipartisan talks are very close to resolution an update on the coronavirus aid relief,03-22-2020 13:27:04,1
254,rt biden and bernie are both heading toward the socialist cliff just in different vehicles bernie is red ferrari wh,03-22-2020 13:25:44,0
255,rt great story,03-22-2020 13:25:26,1
256,rt tomorrow join us exclusive am et live peter navarro,03-22-2020 13:25:00,1
257,rt states that have issued stay at home order california new york illinois pennsylvania connecticut oreg,03-22-2020 13:24:47,1
258,rt mnuchin on the fed and trump efforts to protect the us economy,03-22-2020 13:23:21,1
259,rt former ford ceo auto industry in much stronger position than recession,03-22-2020 13:23:06,1
260,rt us could see lowest gas prices on record analyst,03-22-2020 13:22:08,0
261,rt laid off workers cannot wait small businesses cannot wait at direction we re working around the,03-22-2020 10:27:39,1
262,rt together we will win this war against coronavirus this has been week of national action and of great national sol,03-22-2020 10:27:05,1
263,rt president governors mayors businesses charities and citizens are all working with urgency and speed,03-22-2020 10:26:49,1
264,rt we encourage every american to listen to their state and local authorities and follow president coronavi,03-22-2020 10:26:37,1
265,rt yesterday president spoke with small businesses the economic engine of our country the trump adm,03-22-2020 10:26:23,1
266,rt president signed legislation providing american workers with paid sick leave and paid family medical leave,03-22-2020 10:26:16,0
267,rt democrats and republicans in congress are finding common ground and joining with president in bipartisan,03-22-2020 10:25:46,1
268,rt great reminder from every american has role to play in defending our nation stay at home and sav,03-22-2020 10:25:10,1
269,rt better be option bernieif he means what he said then he should fight with usjoe biden is death sentence for us,03-22-2020 10:20:36,0
270,rt coronavirus or no coronavirus preident hands down should be re elected based,03-22-2020 10:17:44,1
271,rt hysteria will ruin the us,03-22-2020 10:16:11,0
272,rt to neil you have to be very concerned with your words and expect much better from the senate minorit,03-22-2020 10:12:57,1
273,rt to guest host our economy is going to take short term hit from the covid outbreak but do,03-22-2020 10:12:33,1
274,so true,03-22-2020 10:11:38,1
275,rt maintaining freedom in america during coronavirus madness,03-22-2020 10:10:53,1
276,rt the trump administration is considering providing direct financial relief to individuals affected by the coronavirus former,03-22-2020 10:09:57,1
277,rt one major side effect of this economic free fall is that oil and gas prices are at their lowest point in years some areas,03-22-2020 10:09:43,1
278,that doesn sound like michael does it,03-22-2020 10:07:25,0
279,rt excuse me want to interrupt the onslaught of negativity tonight and remind everyone there is no such thing as false hope,03-22-2020 10:05:05,1
280,rt join us am et live peter navarro ceo,03-22-2020 10:04:39,1
281,rt why tom cotton and others are right to question where coronavirus started the national interest,03-22-2020 10:03:58,1
282,maria is great,03-22-2020 10:03:36,1
283,rt what to know what you can do to help our community practice social distancing donate blood,03-22-2020 10:01:33,1
284,rt my friend just converted his family distillery into hand sanitizer manufacturing facility another,03-22-2020 10:01:15,0
285,rt message from covid,03-22-2020 10:00:38,1
286,rt today spoke with our nation small businesses which employ nearly half of america workforce we are taking the,03-22-2020 10:00:28,1
287,rt,03-22-2020 10:00:11,1
288,rt,03-22-2020 09:59:58,1
289,rt the trump administration is working hard to help small businesses get through this difficult time for small business owne,03-22-2020 09:58:27,0
