,negativo,positivo,Total
crocodile,1,0,1
cronies,0,5,5
crony,1,0,1
cronyism,0,1,1
crook,4,0,4
crooked,314,124,438
crookedhillary,12,32,44
crookedjournalism,1,0,1
crookedly,0,1,1
crosby,0,1,1
cross,5,12,17
crosse,0,2,2
crossed,2,1,3
crosses,2,1,3
crossfire,2,1,3
crossing,4,7,11
crossings,5,4,9
crossove,1,0,1
crovatto,0,1,1
crowd,31,206,237
crowded,6,1,7
crowds,17,52,69
crowdso,0,1,1
crowdsold,0,1,1
crowdwe,0,1,1
crowley,1,0,1
crown,1,11,12
crozie,0,1,1
crucial,2,4,6
crude,1,2,3
cruel,3,0,3
cruelty,1,1,2
cruise,3,4,7
cruises,2,1,3
cruising,0,1,1
crumble,3,1,4
crumbling,5,5,10
crumbs,1,0,1
crunch,1,0,1
crus,0,1,1
crusade,0,1,1
crush,4,2,6
crushed,5,1,6
crushes,1,0,1
crushing,1,10,11
crushingit,1,0,1
crutches,0,1,1
cruz,104,160,264
cruzcrew,0,1,1
cruze,0,1,1
cruzfraud,0,1,1
cruzhad,0,1,1
cryin,25,15,40
cryinchuck,1,0,1
crying,9,1,10
crypto,1,0,1
cryptocurrencies,1,0,1
crystal,1,6,7
csn,0,1,1
cst,0,1,1
ct,0,3,3
cta,0,1,1
cte,0,1,1
cties,1,0,1
ctprimary,0,1,1
cu,0,2,2
cuba,6,7,13
cubamemorandum,0,1,1
cuban,2,11,13
cubans,0,1,1
cubavideo,0,1,1
cubs,1,2,3
cuccinelli,0,1,1
cudgel,0,1,1
cueto,1,0,1
cull,0,1,1
cullen,1,0,1
culminating,1,2,3
culmination,0,1,1
culprit,0,1,1
cult,0,1,1
cultural,2,3,5
culture,6,12,18
cultures,0,1,1
cumming,1,0,1
cummings,12,3,15
cumulative,1,0,1
cunning,1,1,2
cunningham,0,1,1
cuntry,0,1,1
cuomo,30,20,50
cuomos,1,0,1
cup,1,17,18
curate,0,1,1
curb,0,1,1
curbing,0,2,2
cure,3,5,8
cured,0,1,1
cures,1,3,4
curfew,1,1,2
curiel,1,1,2
curious,0,2,2
currencies,3,5,8
currency,16,21,37
current,21,22,43
currently,9,26,35
curriculum,0,1,1
curry,0,1,1
curse,2,0,2
cursing,1,0,1
curtis,0,3,3
curve,3,3,6
curved,1,0,1
cushy,0,1,1
cusp,0,2,2
custody,2,3,5
custom,1,0,1
customary,1,0,1
custome,1,2,3
customers,5,5,10
customized,0,1,1
customs,0,4,4
custserv,0,1,1
cut,98,54,152
cute,4,19,23
cutest,0,1,1
cuting,0,1,1
cuts,95,83,178
cutsetc,0,1,1
cutssecurity,1,0,1
cutte,0,8,8
cutting,19,34,53
cuttingstock,0,1,1
cuz,1,2,3
cybe,2,5,7
cyberattack,0,1,1
cybersecurity,0,2,2
cycle,12,3,15
cycles,0,1,1
cyclone,0,5,5
cylinders,1,0,1
cza,0,1,1
da,2,9,11
daca,59,32,91
dad,2,14,16
daddy,3,1,4
daddys,1,0,1
dade,0,1,1
dads,0,1,1
dae,1,1,2
dagan,0,1,1
dagen,1,0,1
dagge,0,2,2
dai,0,1,1
daily,12,27,39
dailycaller,0,1,1
dailyne,0,1,1
daines,0,3,3
dairy,6,1,7
dais,0,1,1
dakota,1,18,19
dallas,14,35,49
daly,0,1,1
dam,1,3,4
damage,24,13,37
damaged,2,5,7
damages,2,5,7
damaging,3,2,5
dame,1,4,5
damian,0,1,1
dammit,1,0,1
damn,6,8,14
damning,0,3,3
damnit,0,1,1
damon,0,3,3
damonknowswinning,1,0,1
dampen,0,1,1
dan,8,66,74
dana,3,14,17
dance,1,0,1
dancers,0,1,1
dancing,1,6,7
dange,12,14,26
dangerous,67,52,119
dangerously,0,1,1
dangers,1,3,4
danials,0,1,1
daniel,1,17,18
daniels,1,1,2
danny,1,15,16
dare,1,6,7
dared,1,0,1
dareing,0,1,1
dares,1,0,1
dark,5,6,11
darkened,0,1,1
darkening,1,0,1
darkest,0,2,2
darknet,0,1,1
darling,1,0,1
darn,1,1,2
darrell,3,4,7
darth,0,1,1
dash,0,1,1
dashboard,0,1,1
dastardly,0,1,1
data,9,18,27
database,2,1,3
date,14,22,36
datenight,0,1,1
dates,1,0,1
dating,1,1,2
daught,0,1,1
daughte,6,30,36
daughters,1,1,2
dave,1,5,6
davenpo,0,2,2
davi,0,2,2
david,19,79,98
davidcameron,0,1,1
davidson,4,4,8
davis,4,7,11
davos,1,12,13
dawn,0,2,2
dawsey,0,1,1
dax,1,0,1
day,176,532,708
daylight,1,1,2
days,71,118,189
daytime,1,0,1
dayton,7,12,19
daytona,1,15,16
dc,11,30,41
dco,0,1,1
dcs,1,1,2
dday,0,15,15
dea,1,19,20
dead,67,21,88
deadliest,1,1,2
deadline,5,2,7
deadlines,1,1,2
deadly,6,8,14
deadpan,0,1,1
deafness,1,0,1
deal,249,346,595
deale,1,0,1
dealers,4,5,9
dealing,19,18,37
dealings,3,5,8
dealit,0,1,1
dealmake,1,1,2
deals,60,88,148
dealt,6,6,12
dean,6,3,9
dearly,3,3,6
death,54,20,74
deaths,23,7,30
deb,0,2,2
debacle,2,3,5
debartolo,0,1,1
debased,1,0,1
debat,1,1,2
debate,94,237,331
debated,0,1,1
debatenight,3,8,11
debates,44,55,99
debating,3,4,7
debbie,7,12,19
deberias,1,0,1
deblasio,5,1,6
deborah,0,1,1
debra,1,0,1
debt,11,31,42
debunk,0,2,2
debunked,1,1,2
debunking,0,2,2
debunks,1,0,1
debuts,0,1,1
dec,0,3,3
decade,2,7,9
decades,38,50,88
decaying,0,2,2
deceit,1,4,5
deceitful,4,1,5
deceitnew,0,1,1
deceits,1,0,1
deceive,0,1,1
deceived,0,3,3
deceiving,1,1,2
decembe,8,18,26
decent,2,5,7
decepcionado,1,0,1
deception,3,5,8
deceptive,2,4,6
deceptively,0,1,1
decide,6,21,27
decided,15,19,34
decides,4,4,8
deciding,0,4,4
decieved,1,0,1
decimate,0,1,1
decimated,2,2,4
decimating,0,1,1
decisio,1,0,1
decision,56,86,142
decisions,17,12,29
decisiv,1,0,1
decisive,3,14,17
decisively,1,2,3
deck,2,1,3
declaration,3,11,14
declarations,1,0,1
declaratory,0,1,1
declare,3,12,15
declared,4,9,13
declares,1,6,7
declaring,4,4,8
declassification,1,2,3
declassifications,1,0,1
declassified,4,12,16
declassify,1,5,6
declassifyin,0,1,1
declassifying,0,1,1
decli,0,1,1
decline,2,6,8
declined,3,0,3
declines,0,1,1
declining,2,3,5
decommission,0,1,1
decontamination,0,1,1
decorated,2,4,6
decoration,0,1,1
decorations,0,2,2
decorum,0,1,1
decoupling,0,1,1
decrease,3,1,4
decreased,2,0,2
decree,0,1,1
decriminalization,0,1,1
decriminalize,1,1,2
dedi,0,1,1
dedicate,0,2,2
dedicated,1,12,13
dedication,1,12,13
deduct,1,1,2
deducti,1,0,1
deductibility,1,2,3
deductible,2,0,2
deductibles,6,6,12
deduction,1,0,1
dee,1,3,4
deed,0,1,1
deeds,0,3,3
deem,1,0,1
deep,14,41,55
deepe,3,1,4
deepen,0,1,1
deepest,19,5,24
deeply,9,6,15
deepstate,2,0,2
deere,0,1,1
deerfield,0,2,2
defa,1,0,1
deface,4,2,6
defaced,0,1,1
defacing,0,2,2
defamation,0,1,1
defamatory,1,0,1
defame,2,1,3
defamed,0,1,1
defaming,0,1,1
default,4,0,4
defeat,19,37,56
defeated,15,4,19
defeating,2,4,6
defeatism,1,0,1
defeatthemobfund,0,1,1
defecting,0,1,1
defections,1,1,2
defective,1,3,4
defend,25,49,74
defende,0,1,1
defended,1,5,6
defenders,1,1,2
defending,7,16,23
defends,3,14,17
defendthesecond,0,1,1
defense,16,69,85
defenseless,1,0,1
defenses,0,2,2
defensive,2,2,4
deference,1,0,1
deferral,2,0,2
defiance,1,1,2
defiant,2,0,2
deficiencies,0,3,3
deficient,1,1,2
deficit,10,11,21
deficits,9,2,11
defied,0,1,1
defies,0,1,1
define,4,1,5
defined,2,1,3
defining,0,1,1
definitely,5,20,25
definition,4,7,11
definitive,1,1,2
definitively,0,1,1
deflated,1,0,1
deflect,1,1,2
defraud,2,1,3
defrauded,3,1,4
defrauding,1,0,1
defunct,0,1,1
defund,19,4,23
defunded,1,1,2
defunding,5,3,8
defunds,0,1,1
defy,1,5,6
defying,2,2,4
degenerate,4,1,5
degenerates,1,0,1
degraded,0,2,2
degree,2,2,4
degrees,4,3,7
del,1,4,5
delaware,0,7,7
delay,24,9,33
delayed,11,2,13
delaying,2,4,6
delays,8,2,10
delegate,1,5,6
delegated,0,1,1
delegates,11,15,26
delegation,4,14,18
delegations,0,3,3
delete,3,1,4
deleted,32,8,40
deleting,2,0,2
deletion,1,0,1
deliberate,0,2,2
deliberately,1,2,3
deliberations,0,1,1
delicious,0,1,1
delight,0,1,1
delighted,0,5,5
delinquent,3,1,4
delive,15,56,71
deliverance,0,1,1
delivered,10,36,46
deliveries,1,2,3
delivering,3,37,40
delivers,5,39,44
delivery,4,5,9
dels,1,0,1
delta,1,0,1
deluded,1,0,1
delusion,5,6,11
delusional,0,1,1
dem,59,39,98
demagogue,1,0,1
demagoguery,0,1,1
demand,14,43,57
demanded,5,4,9
demanding,8,6,14
demands,10,6,16
demdebate,17,26,43
demdebates,0,2,2
demean,10,5,15
demeaning,2,5,7
demeano,0,1,1
demented,3,2,5
demings,0,1,1
demise,1,0,1
demo,1,5,6
democ,4,1,5
democra,2,2,4
democracy,6,21,27
democrat,216,242,458
democratic,35,40,75
democratically,0,1,1
democraticdebate,0,5,5
democrats,816,754,1570
democratsfortrump,0,3,3
democratshateamerica,0,1,1
democratshutdown,1,0,1
democrsts,0,1,1
demographics,0,1,1
demolished,0,1,1
demolition,0,2,2
demonize,0,1,1
demonizing,1,0,1
demonstra,0,1,1
demonstrably,0,1,1
demonstrate,1,1,2
demonstrated,2,2,4
demonstrates,0,2,2
demonstrating,2,1,3
demonstration,0,1,1
demonstrations,0,1,1
demonstrato,0,1,1
demonstrators,2,0,2
demoralized,1,0,1
demos,1,0,1
demosalso,0,1,1
demoted,2,0,2
dems,363,232,595
demsi,0,1,1
demsinphilly,0,1,1
den,1,0,1
denali,0,1,1
denial,1,3,4
denials,0,1,1
denied,6,6,12
deniers,0,1,1
denies,1,5,6
denigrate,2,1,3
denmark,2,5,7
dennard,1,0,1
denny,0,2,2
denounce,2,2,4
denounces,1,2,3
denouncing,0,1,1
denuclearization,9,9,18
denuclearize,2,2,4
denunciation,0,1,1
denve,2,8,10
deny,5,13,18
denying,3,7,10
denzel,0,1,1
denzelwashington,1,0,1
deodorant,0,1,1
dep,0,1,1
depa,1,0,1
departed,2,5,7
departing,1,31,32
department,52,61,113
departments,7,6,13
departs,0,2,2
departure,1,0,1
depend,0,1,1
dependability,0,1,1
dependable,0,1,1
dependency,0,1,1
dependent,2,0,2
depending,0,7,7
depends,2,0,2
depict,0,2,2
depicted,1,1,2
depl,1,0,1
deplete,0,1,1
depleted,2,6,8
depletion,1,0,1
deplorable,0,1,1
deplorablein,0,1,1
deplorables,4,7,11
deplore,0,2,2
deploy,2,2,4
deployed,2,4,6
deployments,0,1,1
depo,4,3,7
deportation,1,5,6
deportations,4,1,5
deported,8,3,11
deporting,1,1,2
depose,1,0,1
deposing,0,1,1
deposition,0,3,3
depositions,2,0,2
depot,2,1,3
depraved,0,1,1
depravity,1,1,2
depreci,1,0,1
depreciating,1,0,1
depreciation,1,0,1
depres,0,1,1
depress,0,1,1
depressed,1,1,2
depressing,1,0,1
depression,9,2,11
deprimary,0,1,1
deprived,1,0,1
depriving,1,1,2
dept,3,23,26
depth,0,6,6
depths,0,1,1
deput,0,1,1
deputies,1,1,2
deputy,5,10,15
derail,1,1,2
derailment,1,0,1
derails,1,0,1
deranged,8,6,14
derangement,3,8,11
derby,4,1,5
derco,0,1,1
dereg,1,0,1
deregulate,1,0,1
deregulated,1,0,1
deregulation,2,2,4
deregulatory,0,1,1
derek,0,2,2
derelict,1,0,1
dereliction,1,0,1
derogatory,2,0,2
deroy,1,1,2
derp,0,1,1
derry,0,1,1
dershowitz,6,11,17
des,4,13,17
desaloja,0,1,1
desantis,4,11,15
descend,0,1,1
descendants,1,0,1
descent,1,0,1
described,0,1,1
describes,0,1,1
describing,0,5,5
description,2,2,4
desde,0,1,1
desecrated,0,1,1
desecration,0,1,1
deserte,1,0,1
deserted,1,1,2
deserting,0,1,1
desertion,1,0,1
deserve,10,35,45
deserved,1,9,10
deserves,5,27,32
deserving,0,1,1
design,0,6,6
designate,0,1,1
designated,0,2,2
designates,0,1,1
designating,0,4,4
designation,0,1,1
designations,0,2,2
designed,4,11,15
designers,0,1,1
designs,0,1,1
desire,0,5,5
desired,1,1,2
desires,1,0,1
desk,6,10,16
despai,1,5,6
desperate,29,15,44
desperately,46,21,67
desperation,2,1,3
despicable,2,7,9
despise,1,0,1
despised,0,1,1
despises,1,0,1
despite,89,115,204
destabalize,1,0,1
destabilize,2,2,4
destabilizing,1,0,1
destination,0,2,2
destinations,1,0,1
destined,1,5,6
destinies,0,1,1
destiny,0,9,9
destr,1,0,1
destroy,38,59,97
destroyed,39,11,50
destroying,9,13,22
destroys,2,13,15
destruct,0,1,1
destruction,10,21,31
destructive,4,8,12
detailed,2,5,7
details,3,19,22
detain,2,2,4
detained,6,2,8
detainee,1,0,1
detainees,1,1,2
detainment,0,1,1
detangment,0,1,1
detect,1,2,3
detection,0,1,1
detective,0,1,1
detention,6,2,8
detentions,1,0,1
deter,0,1,1
deteriorating,0,1,1
determination,0,13,13
determine,7,7,14
determined,3,14,17
determining,1,1,2
deterred,0,1,1
deterrence,1,0,1
deterrent,2,4,6
detractors,1,1,2
detriment,2,3,5
detrimental,0,1,1
detroit,2,6,8
deutsch,0,1,1
deutsche,1,0,1
deutschebank,1,0,1
devaluation,4,2,6
devaluations,1,0,1
devalue,3,1,4
devalued,1,2,3
devaluing,1,1,2
devaney,0,1,1
devastate,0,1,1
devastated,16,4,20
devastating,19,7,26
devastation,3,6,9
develop,5,12,17
develope,0,2,2
developed,2,4,6
developers,2,1,3
developing,5,10,15
developingthe,1,0,1
development,3,24,27
developments,2,6,8
deven,0,1,1
devi,0,1,1
device,1,0,1
devices,2,3,5
devil,0,1,1
devils,0,1,1
devin,2,9,11
devious,0,1,1
devised,1,1,2
devoid,0,1,1
devon,0,1,1
devote,3,3,6
devoted,1,4,5
devotes,0,1,1
devotion,1,11,12
dew,0,1,1
dewey,0,2,2
dewine,0,1,1
dhabi,0,2,2
dhs,2,8,10
di,4,22,26
diabetes,0,1,1
diagnos,1,0,1
diagnosis,1,0,1
diagnostic,1,0,1
dial,1,0,1
dialing,0,1,1
dialogue,2,11,13
diamond,1,8,9
diana,0,1,1
diane,1,2,3
dianne,3,1,4
diapers,0,1,1
diary,0,2,2
diblasio,1,0,1
dicey,1,1,2
dick,5,1,6
dickerson,0,2,2
dicks,0,1,1
dicky,2,0,2
dictate,1,1,2
dictates,1,0,1
dictato,1,1,2
dictatorship,2,0,2
did,476,336,812
diddy,0,1,1
didn,171,47,218
didnt,30,9,39
didyouknow,0,1,1
didyouseethat,0,1,1
die,13,11,24
died,40,8,48
diego,5,11,16
dieing,1,1,2
dies,2,0,2
diff,1,1,2
diffe,1,1,2
difference,12,30,42
differences,1,3,4
different,33,51,84
differently,3,3,6
differing,0,1,1
difficult,25,13,38
difficulties,2,1,3
difficultmay,1,0,1
difficulty,3,1,4
dig,1,5,6
digenova,5,2,7
digests,0,1,1
diggin,0,1,1
digging,2,0,2
digit,0,4,4
digital,0,8,8
digits,0,2,2
dignified,0,2,2
dignity,2,8,10
dignitytrump,0,1,1
digs,0,1,1
dilanian,0,1,1
dilapidated,1,0,1
dile,0,1,1
dilemma,2,1,3
diligence,0,4,4
diligently,0,1,1
dille,3,1,4
dilloncjtf,0,1,1
dilute,0,1,1
dim,0,1,1
dimensionns,1,0,1
dimensions,1,0,1
diminish,2,1,3
dimlibs,0,1,1
dimms,0,1,1
dimon,1,2,3
dina,0,1,1
dinald,0,1,1
dine,0,1,1
dinesh,0,2,2
dingell,3,3,6
dining,0,5,5
dinne,9,40,49
dioxide,1,0,1
diplomacy,2,0,2
diplomat,1,0,1
diplomatic,0,1,1
diplomatically,0,2,2
diplomats,1,1,2
dipping,0,1,1
dipshit,0,1,1
dire,1,1,2
direct,7,21,28
directed,1,11,12
directing,2,4,6
direction,7,24,31
directions,0,9,9
directive,0,1,1
directly,11,15,26
directness,1,0,1
directo,34,69,103
directors,0,4,4
dirtiest,0,1,1
dirty,35,19,54
dis,2,0,2
disabilities,1,1,2
disability,1,0,1
disabled,6,1,7
disadvantage,2,5,7
disadvantaged,1,0,1
disaffected,1,0,1
disagree,3,5,8
disagreed,1,1,2
disagreement,1,2,3
disallow,0,1,1
disappea,1,2,3
disappeared,14,1,15
disappoint,2,7,9
disappointed,16,2,18
disappointing,3,0,3
disappointment,2,0,2
disapproval,0,4,4
disapprove,0,1,1
disapproves,0,1,1
disarm,0,2,2
disarray,3,2,5
disaste,77,93,170
disaster,1,0,1
disasters,3,1,4
disastrous,9,8,17
disavow,1,1,2
disavowed,2,1,3
disba,1,0,1
disband,0,1,1
disbanded,0,1,1
disbarred,1,0,1
disbursed,0,1,1
disc,0,1,1
discernment,0,1,1
discgrace,1,0,1
disciples,0,1,1
disciplinary,2,1,3
discipline,0,1,1
disciplined,0,1,1
disclaime,2,1,3
disclose,5,3,8
disclosed,1,2,3
disclosure,4,9,13
disclosures,2,0,2
disconnected,1,0,1
discord,0,2,2
discou,0,1,1
discount,1,0,1
discounting,1,1,2
discouraged,1,0,1
discouragement,0,1,1
discouraging,0,1,1
discourse,0,1,1
discovered,4,4,8
discovering,0,1,1
discovers,0,2,2
discovery,1,4,5
discredit,2,5,7
discredited,20,18,38
discreet,1,0,1
discretio,1,0,1
discretion,3,1,4
discribing,1,0,1
discriminate,0,1,1
discriminated,0,1,1
discriminating,0,1,1
discrimination,0,4,4
discriminatory,0,2,2
discriptive,0,1,1
discused,0,1,1
discuss,11,67,78
discussed,11,33,44
discusses,0,12,12
discussing,13,34,47
discussion,3,13,16
discussions,1,16,17
disdain,2,0,2
dise,0,1,1
diseas,0,1,1
disease,3,1,4
diseases,0,4,4
disembark,1,1,2
disenfranchise,1,0,1
disenfranchised,2,0,2
disengenuos,0,1,1
disfunction,0,1,1
disfunctional,1,0,1
disgrace,54,38,92
disgraced,16,8,24
disgraceful,35,23,58
disgruntled,4,0,4
disguis,0,1,1
disguise,1,0,1
disgust,0,3,3
disgusted,3,3,6
disgusting,39,16,55
disgustingly,0,1,1
dish,0,1,1
disheartened,0,1,1
disheartening,1,0,1
dishes,0,1,1
dishonest,102,87,189
dishonesty,7,13,20
dishono,1,1,2
dishonorable,0,1,1
dishonoring,0,1,1
disillusioned,0,1,1
disinfectants,0,1,1
disinformation,6,9,15
disingenuous,0,1,1
disintegrate,0,1,1
disinvestment,1,0,1
dislike,1,0,1
disloyal,8,5,13
disloyalty,1,1,2
dismal,2,0,2
dismantle,2,4,6
dismantled,1,2,3
dismantles,0,1,1
dismantling,2,3,5
dismembering,0,1,1
dismiss,4,7,11
dismissal,2,0,2
dismissed,2,6,8
dismissing,0,4,4
disney,2,3,5
disorde,0,1,1
disparage,6,2,8
disparaged,1,0,1
disparaging,0,2,2
disparagingly,0,1,1
dispatched,1,0,1
dispel,0,1,1
display,9,12,21
displayed,0,3,3
displaying,0,3,3
displays,0,1,1
disposable,1,0,1
disposal,0,3,3
dispose,0,1,1
disposed,1,3,4
disposing,2,0,2
disproportionate,2,1,3
disproportionately,0,1,1
disproven,1,2,3
dispute,3,5,8
disputed,1,1,2
disputes,0,3,3
disqualified,1,2,3
disqualify,1,0,1
disqualifying,1,1,2
disregard,2,1,3
disregarded,0,1,1
disregarding,0,1,1
disrepai,0,1,1
disreputable,1,0,1
disrespect,7,12,19
disrespected,3,1,4
disrespectful,3,2,5
disrespectfully,1,0,1
disrespecting,1,5,6
disrupt,1,2,3
disrupte,1,1,2
disrupted,1,1,2
disruption,1,6,7
disruptions,0,1,1
disruptive,1,0,1
disruptors,1,0,1
disrupts,1,0,1
dissapating,0,1,1
dissect,0,2,2
dissected,1,0,1
dissed,0,1,1
disseminating,1,0,1
dissension,0,2,2
dissent,1,2,3
disservice,1,1,2
disses,0,1,1
dissipates,1,0,1
distan,0,1,1
distance,6,1,7
distanci,0,1,1
distancing,5,14,19
distant,1,4,5
distasteful,0,1,1
distillers,0,1,1
distillery,1,0,1
distinction,0,8,8
distinguish,1,0,1
distinguished,3,6,9
disto,2,4,6
distorted,6,2,8
distorting,1,1,2
distortion,0,2,2
distortions,0,3,3
distorts,0,1,1
distract,3,8,11
distraction,1,1,2
distractions,0,1,1
distrbution,1,0,1
distri,1,0,1
distribut,0,1,1
distribute,1,2,3
distributed,0,1,1
distributing,0,1,1
distribution,1,3,4
distributors,1,1,2
district,24,40,64
districts,8,6,14
distroys,0,1,1
distrust,1,1,2
disturb,0,1,1
disturbance,0,1,1
disturbances,1,0,1
disturbed,3,0,3
disturbing,2,2,4
disunity,1,0,1
ditch,1,0,1
dithe,0,1,1
ditka,0,2,2
ditto,0,1,1
diva,1,0,1
dive,1,2,3
diverse,1,2,3
diversionary,2,0,2
diversity,0,2,2
diverted,2,1,3
dives,0,1,1
divide,3,3,6
divided,9,6,15
dividends,0,1,1
dividing,3,1,4
divine,0,1,1
division,8,2,10
divisive,0,1,1
divorced,3,1,4
diwali,0,4,4
diya,0,2,2
djt,7,14,21
dlg,0,1,1
dmd,0,1,1
dmz,0,3,3
dna,2,0,2
dnc,58,38,96
dncleak,0,1,1
dni,3,8,11
doable,1,0,1
dobbs,0,12,12
doc,3,1,4
docinmich,0,1,1
docking,0,1,1
docks,0,1,1
docs,7,9,16
docto,5,15,20
doctored,0,1,1
doctors,6,16,22
doctrine,0,5,5
docum,0,1,1
document,3,10,13
documentary,2,1,3
documentation,1,1,2
documented,1,3,4
documents,37,25,62
dod,2,2,4
dodd,0,2,2
dodge,1,2,3
dodgers,0,2,2
dodging,0,1,1
doe,1,0,1
doemocrat,1,0,1
doers,0,1,1
does,283,179,462
doesn,117,60,177
doesnt,37,11,48
dog,18,15,33
doggedly,0,1,1
dogs,5,1,6
doha,0,1,1
doi,0,1,1
doing,283,506,789
doings,1,1,2
doj,29,65,94
dokey,0,1,1
dole,4,4,8
dolla,23,54,77
dollars,175,128,303
dollarsi,1,0,1
dolt,0,1,1
dom,0,1,1
domain,6,4,10
domenech,1,0,1
domestic,4,7,11
dominance,1,5,6
dominant,2,5,7
dominate,1,4,5
dominated,4,1,5
dominates,1,3,4
dominating,1,8,9
domination,0,4,4
dominican,0,2,2
don,343,234,577
donahue,0,1,1
donal,1,2,3
donald,139,802,941
donaldforpresident,0,2,2
donaldjtrump,0,1,1
donaldtrump,42,138,180
donaldtrumpforpresident,0,3,3
donaldtrumprocks,0,1,1
donaldwillbethegopnominee,0,1,1
donate,1,10,11
donated,0,5,5
donates,1,3,4
donating,2,6,8
donation,1,8,9
donations,4,9,13
donimus,0,1,1
donna,5,5,10
donned,0,1,1
donnell,5,3,8
donnelly,3,0,3
donny,1,5,6
dono,2,3,5
donohue,0,1,1
donors,14,11,25
donothingdemocrats,1,1,2
donothingdems,0,1,1
donovan,0,3,3
dont,56,41,97
doo,10,7,17
doocy,0,1,1
doom,0,1,1
doomed,5,3,8
doonbeg,1,4,5
doors,11,7,18
doorsteps,0,1,1
dope,8,7,15
dopes,3,3,6
dopey,14,9,23
doral,5,24,29
doria,0,1,1
dorian,16,37,53
dorn,3,2,5
dornsife,0,1,1
dorothy,0,1,1
dorton,0,1,1
dos,0,1,1
dose,2,1,3
doses,0,1,1
dossie,58,49,107
dossier,1,0,1
dossiera,0,1,1
doub,1,2,3
double,23,24,47
doubled,1,6,7
doubles,2,0,2
doubling,3,5,8
doubt,14,42,56
doubted,1,0,1
doubters,0,2,2
doubts,1,5,6
doug,1,24,25
dough,0,1,1
douglas,2,2,4
douglass,1,0,1
dov,0,2,2
dove,2,0,2
dovish,0,1,1
dow,13,29,42
dowd,2,4,6
dowhatwesaid,0,1,1
downgraded,0,1,1
downhill,0,1,1
downing,1,0,1
downloaded,0,1,1
downloading,0,1,1
downplay,1,1,2
downright,0,1,1
downside,1,0,1
downtonabbey,1,0,1
downtown,0,2,2
downturn,2,0,2
downward,3,4,7
downwonde,0,1,1
doyle,0,1,1
dozen,2,3,5
dozens,3,7,10
dprk,0,1,1
dps,0,1,1
dr,0,1,1
draft,0,1,1
drafted,1,1,2
drafting,0,1,1
drag,2,2,4
dragged,1,0,1
draghi,2,0,2
dragon,0,3,3
dragons,0,1,1
drags,0,1,1
drain,22,15,37
drained,1,0,1
draining,8,1,9
draintheswam,0,1,1
draintheswamp,20,63,83
draintheswampwatch,0,1,1
drake,1,0,1
drama,7,6,13
dramas,0,1,1
dramatic,3,4,7
dramatically,5,5,10
drastic,1,0,1
drastically,2,0,2
draw,1,0,1
drawing,3,4,7
drawn,3,5,8
draws,0,1,1
dre,0,1,1
dream,12,52,64
dreamed,1,1,2
dreamers,0,1,1
dreaming,1,0,1
dreams,5,11,16
dreamt,0,1,1
drehle,0,1,1
dress,0,3,3
dressed,2,2,4
drew,2,18,20
drifted,0,1,1
drill,2,0,2
drilling,3,1,4
drills,2,0,2
drinking,1,1,2
drip,3,2,5
driv,0,1,1
drive,9,23,32
driven,7,7,14
drivers,1,7,8
driversutility,0,1,1
drives,1,1,2
driving,12,15,27
dro,1,0,1
drone,7,4,11
droned,0,1,1
drones,0,2,2
droneship,0,1,1
drooling,2,0,2
drop,20,21,41
dropout,1,0,1
dropouts,1,0,1
dropped,39,12,51
dropping,12,8,20
drops,4,3,7
drought,1,1,2
drove,2,2,4
droves,0,4,4
drowning,1,0,1
drs,1,0,1
drudge,2,14,16
drudgetime,1,0,1
drug,62,67,129
drugged,0,2,2
druggies,1,0,1
drugs,42,60,102
drum,0,3,3
drumbeat,1,0,1
drumstick,0,1,1
drunk,2,4,6
drunken,1,0,1
dry,6,0,6
ds,1,0,1
dt,2,10,12
dtmag,0,2,2
dts,0,2,2
du,0,3,3
dual,0,1,1
dubai,0,3,3
dubiou,0,1,1
dubuque,0,2,2
ducey,0,2,2
duchenne,0,1,1
duchess,0,5,5
duck,3,1,4
duckdynasty,0,1,1
ducking,0,2,2
duda,0,6,6
dude,0,2,2
dudes,1,0,1
duel,0,1,1
duerk,0,1,1
dues,3,7,10
duffy,0,4,4
dug,1,1,2
duh,0,1,1
duites,0,1,1
duke,0,6,6
dull,0,1,1
duluth,0,4,4
duly,4,5,9
dumb,43,21,64
dumbe,5,4,9
dumbest,10,14,24
dumbfounded,0,1,1
dummies,2,4,6
dummy,17,13,30
dump,5,2,7
dumped,6,2,8
dumping,4,4,8
dumpmacys,0,1,1
dunes,1,0,1
dunford,0,1,1
dungeon,0,1,1
dunk,0,1,1
dunn,2,4,6
duped,4,2,6
duplicat,1,0,1
duplication,1,0,1
dupont,1,1,2
durbin,5,0,5
durdin,0,1,1
durham,2,4,6
dust,3,2,5
dustin,0,5,5
dusty,0,2,2
dutch,0,1,1
dutchess,0,1,1
duties,1,3,4
duty,10,35,45
dv,1,4,5
dvrd,1,0,1
dwight,0,1,1
dwindling,1,3,4
dws,1,0,1
dwyane,1,1,2
dye,1,1,2
dying,36,7,43
dynamic,3,1,4
dynamics,0,2,2
dynasty,3,4,7
dysfunctional,0,3,3
dystopia,1,0,1
dystrophy,0,1,1
ea,0,1,1
eagle,0,1,1
eagles,1,2,3
earlie,12,37,49
earliest,1,4,5
early,47,91,138
earlyvote,0,1,1
earn,0,4,4
earned,1,15,16
earners,0,1,1
earnest,0,1,1
earnhardt,0,1,1
earnhistory,0,1,1
earning,0,1,1
earnings,4,5,9
